School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Fall River: Samuel Watson,00950145,Public School,Fall River,MA,02723,"K,01,02,03,04,05",Fall River,00950000,Public School District,       0,      50,      40,      32,      39,      41,      39,       0,       0,       0,       0,       0,       0,       0,       0,     241,      46,  19.1,      28,  11.6,      36,  14.9,     226,  93.8, , ,12.4,2.1,27.0,41.9,0.0,0.4,16.2,46.9,53.1,0.0,      96,21.0,        259,18.3,100.0,  13.2 to 1,61.8,90.7,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          25,24.0,           0,0.0,          25,24.0,          55,53.0,          23,22.0,         103,99.0,485.0,52.0,          66,19.0,          12,12.0,           1,1.0,          11,11.0,          58,57.0,          32,31.0,         102,100.0,480.0,43.0,          67,15.0,Underperforming school,10.0
Fall River: Spencer Borden,00950130,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,      16,      96,      94,      96,      82,     112,      85,       0,       0,       0,       0,       0,       0,       0,       0,     581,     117,  20.1,      58,  10.0,     177,  30.5,     469,  80.7, , ,11.4,4.6,22.2,50.6,0.0,0.0,11.2,52.8,47.2,0.0,     282,17.0,        607,40.9,100.0,  14.2 to 1,82.9,97.6,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          98,37.0,           3,1.0,          95,36.0,         132,50.0,          36,14.0,         266,100.0,494.0,51.0,         162,48.0,         133,50.0,           8,3.0,         125,47.0,         103,39.0,          29,11.0,         265,100.0,500.0,62.0,         161,69.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",53.0
Fall River: Stone PK-12 School,00950340,Public School,Fall River,MA,02720,"K,01,02,03,04,05,06,07,08,09,10,11,12",Fall River,00950000,Public School District,       0,       1,       0,       3,       2,       3,       3,       7,       8,       9,       9,       9,       8,       6,       0,      68,       8,  11.8,       6,   8.8,      68, 100.0,      68, 100.0, , ,13.2,0.0,22.1,55.9,0.0,1.5,7.4,73.5,26.5,0.0,     119,5.9,        101,13.6,100.0,   5.0 to 1,83.8,90.4,93.3,6.0,66.7,16.7,0.0,0.0,16.7,0.0,      32,3.0,9.4,,,,,,,,,,,,,,,,,,,,,          13,           0,0.0,           0,0.0,           0,0.0,           0,0.0,          10,45.0,          12,55.0,          22,90.0,464.0,,          18,1.0,           0,0.0,           0,0.0,           0,0.0,           6,26.0,          17,74.0,          23,92.0,458.0,,          19,1.0,Low participation rate,
Fall River: Talbot Innovation School,00950305,Public School,Fall River,MA,02723,"06,07,08",Fall River,00950000,Public School District,       0,       0,       0,       0,       0,       0,       0,     200,     193,     227,       0,       0,       0,       0,       0,     620,     269,  43.4,     186,  30.0,     131,  21.1,     559,  90.2, , ,8.7,3.1,37.4,39.8,0.3,0.2,10.5,48.7,51.3,0.0,     316,22.6,        686,53.6,97.8,  11.6 to 1,62.5,83.2,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          62,12.0,           2,0.0,          60,12.0,         197,38.0,         259,50.0,         518,99.0,472.0,42.0,         467,3.0,          58,11.0,           1,0.0,          57,11.0,         231,44.0,         231,44.0,         520,100.0,474.0,41.0,         469,7.0,Low student group performance,2.0
Fall River: William S Greene,00950065,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,      29,     101,      82,     117,     106,     108,     120,       0,       0,       0,       0,       0,       0,       0,       0,     663,     253,  38.2,     185,  27.9,     147,  22.2,     601,  90.6, , ,9.4,5.4,34.1,40.6,0.0,0.0,10.6,50.5,49.5,0.0,     309,18.8,        718,46.3,97.8,  14.3 to 1,71.3,95.7,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          51,17.0,           1,0.0,          50,16.0,         144,47.0,         109,36.0,         304,100.0,479.0,41.0,         205,8.0,          50,17.0,           0,0.0,          50,17.0,         142,47.0,         110,36.0,         302,100.0,478.0,48.0,         205,11.0,Low student group performance,5.0
Falmouth: East Falmouth Elementary,00960005,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District,      78,      53,      28,      29,      45,      43,       0,       0,       0,       0,       0,       0,       0,       0,       0,     276,      22,   8.0,      17,   6.2,      72,  26.1,     181,  65.6, , ,5.4,3.3,11.2,73.6,1.1,0.0,5.4,58.7,41.3,0.0,      73,14.7,        294,26.8,100.0,  10.3 to 1,85.1,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          38,45.0,           6,7.0,          32,38.0,          44,52.0,           2,2.0,          84,98.0,500.0,59.0,          40,68.0,          33,39.0,           6,7.0,          27,32.0,          41,49.0,          10,12.0,          84,99.0,496.0,60.0,          40,58.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",66.0
Falmouth: Falmouth High,00960505,Public School,Falmouth,MA,02540,"09,10,11,12",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     211,     197,     212,     178,       7,     805,      72,   8.9,      27,   3.4,     151,  18.8,     367,  45.6, , ,6.0,2.1,7.3,79.4,0.5,0.0,4.7,50.4,48.6,1.0,     680,14.6,        816,68.3,100.0,  11.8 to 1,86.6,87.1,84.9,211.0,88.6,2.4,0.0,0.9,8.1,0.0,     798,15.0,1.9,188.0,137.0,72.9,     153,     311,64.0,42.0,29.0,15.0,3.0,52.0,55.0,83.0,83.0,      38,34.4,65.6,127.0,592.0,573.0,         403,         276,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",50.0
Falmouth: Lawrence,00960405,Public School,Falmouth,MA,02540,"07,08",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     259,     239,       0,       0,       0,       0,       0,     498,      37,   7.4,      15,   3.0,      96,  19.3,     258,  51.8, , ,4.6,1.2,6.8,79.3,2.2,0.0,5.8,51.4,48.2,0.4,     430,14.1,        510,51.6,98.1,   9.7 to 1,79.7,92.3,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         190,40.0,          30,6.0,         160,34.0,         212,45.0,          70,15.0,         472,99.0,495.0,43.0,         438,51.0,         212,45.0,          37,8.0,         175,37.0,         215,46.0,          40,9.0,         467,98.0,498.0,54.0,         437,64.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",55.0
Falmouth: Morse Pond School,00960305,Public School,Falmouth,MA,02540,"05,06",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,     230,     244,       0,       0,       0,       0,       0,       0,       0,     474,      37,   7.8,      21,   4.4,      99,  20.9,     248,  52.3, , ,4.2,0.8,7.4,78.1,1.5,0.0,8.0,51.1,48.9,0.0,     256,19.0,        471,44.9,100.0,  10.6 to 1,91.1,95.5,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         252,56.0,          40,9.0,         212,47.0,         150,33.0,          52,11.0,         454,99.0,501.0,53.0,         439,73.0,         251,55.0,          39,9.0,         212,47.0,         169,37.0,          35,8.0,         455,100.0,502.0,53.0,         441,75.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",69.0
Falmouth: Mullen-Hall,00960020,Public School,Falmouth,MA,02540,"K,01,02,03,04",Falmouth,00960000,Public School District,       0,      71,      79,      83,      86,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,     400,      38,   9.5,      28,   7.0,      57,  14.3,     198,  49.5, , ,3.5,1.8,10.8,74.5,0.3,0.0,9.3,57.3,42.8,0.0,     120,16.7,        400,39.4,100.0,  10.2 to 1,87.8,97.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          54,34.0,           4,3.0,          50,31.0,          80,50.0,          25,16.0,         159,100.0,491.0,42.0,          70,37.0,          47,30.0,           3,2.0,          44,28.0,          84,53.0,          28,18.0,         159,100.0,487.0,48.0,          72,31.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",36.0
Falmouth: North Falmouth Elementary,00960030,Public School,North Falmouth,MA,02556,"K,01,02,03,04",Falmouth,00960000,Public School District,       0,      80,      55,      65,      57,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,     338,      17,   5.0,       9,   2.7,      49,  14.5,     113,  33.4, , ,3.0,1.2,8.6,82.0,0.3,0.0,5.0,45.9,54.1,0.0,     105,16.2,        340,30.2,100.0,  11.2 to 1,86.8,96.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          78,57.0,          11,8.0,          67,49.0,          52,38.0,           7,5.0,         137,99.0,503.0,59.0,          75,78.0,          93,68.0,          11,8.0,          82,60.0,          36,26.0,           8,6.0,         137,100.0,506.0,47.0,          75,86.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",81.0
Falmouth: Teaticket,00960015,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District,      25,      46,      44,      46,      40,      52,       0,       0,       0,       0,       0,       0,       0,       0,       0,     253,      30,  11.9,      20,   7.9,      63,  24.9,     179,  70.8, , ,7.5,1.2,10.3,70.4,0.8,0.0,9.9,54.9,43.9,1.2,      79,14.7,        254,27.6,100.0,   9.2 to 1,81.9,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          38,44.0,           5,6.0,          33,38.0,          37,43.0,          12,14.0,          87,100.0,495.0,60.0,          49,53.0,          38,44.0,           3,3.0,          35,40.0,          38,44.0,          11,13.0,          87,100.0,495.0,63.0,          49,55.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",65.0
Farmington River Reg: Farmington River Elementary,06620020,Public School,Otis,MA,01253,"PK,K,01,02,03,04,05,06",Farmington River Reg,06620000,Public School District,      14,      19,      20,      15,      10,      15,      14,       9,       0,       0,       0,       0,       0,       0,       0,     116,       0,   0.0,       0,   0.0,      28,  24.1,      65,  56.0, , ,0.0,0.0,2.6,97.4,0.0,0.0,0.0,44.8,55.2,0.0,      77,14.2,        117,13.8,100.0,   8.4 to 1,88.4,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          22,46.0,           2,4.0,          20,42.0,          24,50.0,           2,4.0,          48,98.0,500.0,56.0,          31,69.0,          27,56.0,           1,2.0,          26,54.0,          18,38.0,           3,6.0,          48,98.0,503.0,65.0,          31,80.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",52.0
Fitchburg: Arthur M Longsjo Middle School,00970315,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,     180,     174,     149,     145,       0,       0,       0,       0,       0,     648,     235,  36.3,      88,  13.6,     171,  26.4,     565,  87.2, , ,6.3,3.9,60.0,21.6,0.2,0.0,8.0,52.3,47.4,0.3,     343,20.2,        687,48.9,98.0,  13.3 to 1,65.2,79.5,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         117,19.0,           6,1.0,         111,18.0,         276,46.0,         211,35.0,         604,99.0,480.0,41.0,         557,10.0,          74,12.0,           2,0.0,          72,12.0,         318,53.0,         209,35.0,         601,98.0,478.0,37.0,         557,11.0,Low student group performance,4.0
Fitchburg: Crocker Elementary,00970016,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,      42,     101,      93,     123,     129,      91,       0,       0,       0,       0,       0,       0,       0,       0,       0,     579,     211,  36.4,     156,  26.9,     133,  23.0,     497,  85.8, , ,7.9,5.2,54.7,25.4,0.0,0.0,6.7,49.4,50.6,0.0,     212,21.1,        592,46.0,100.0,  12.6 to 1,95.7,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          80,38.0,           9,4.0,          71,34.0,          90,43.0,          39,19.0,         209,99.0,492.0,50.0,          86,39.0,          83,40.0,           9,4.0,          74,35.0,          79,38.0,          47,22.0,         209,100.0,492.0,50.0,          86,44.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",36.0
Fitchburg: Fitchburg High,00970505,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District,      26,       0,       0,       0,       0,       0,       0,       0,       0,       0,     304,     323,     361,     279,       0,"   1,293",     512,  39.6,     141,  10.9,     259,  20.0,     980,  75.8, , ,7.5,6.1,56.0,23.7,0.0,0.0,6.7,52.0,48.0,0.0,     538,18.1,"      1,271",87.4,98.9,  14.8 to 1,83.7,89.4,93.7,234.0,93.6,1.3,0.0,0.9,4.3,0.0,"   1,267",18.0,1.4,226.0,197.0,87.2,     251,     544,107.0,52.0,48.0,36.0,8.0,250.0,146.0,83.0,43.0,      22,72.8,27.2,239.0,467.0,454.0,         584,         321,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",16.0
Fitchburg: Goodrich Academy,00970510,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       3,      16,      28,     100,      11,     158,      45,  28.5,      17,  10.8,      61,  38.6,     137,  86.7, , ,3.8,3.2,45.6,41.8,0.0,0.0,5.7,55.7,43.7,0.6,     125,8.1,        270,8.8,100.0,  17.9 to 1,100.0,100.0,90.0,147.0,74.8,12.2,2.0,0.0,10.9,0.0,     147,22.0,15.0,143.0,10.0,7.0,,,,,,,,,,,,,,,,,,         174,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Fitchburg: McKay Elementary School,00970340,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,      25,      71,      78,      75,      74,      63,      76,      71,      70,      60,       0,       0,       0,       0,       0,     663,     257,  38.8,     139,  21.0,     159,  24.0,     547,  82.5, , ,6.9,5.1,58.1,23.8,0.0,0.0,6.0,54.6,45.4,0.0,     436,19.3,        703,51.6,100.0,  12.8 to 1,80.6,92.2,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          73,19.0,           7,2.0,          66,17.0,         157,41.0,         154,40.0,         384,99.0,481.0,45.0,         281,11.0,          58,15.0,           4,1.0,          54,14.0,         161,42.0,         163,43.0,         382,100.0,477.0,45.0,         283,10.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",5.0
Fitchburg: Memorial Middle School,00970048,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,     179,     160,     162,     167,       0,       0,       0,       0,       0,     668,     215,  32.2,      66,   9.9,     107,  16.0,     521,  78.0, , ,5.5,3.1,54.9,28.3,0.0,0.1,7.9,45.4,54.6,0.0,     344,20.8,        689,54.8,100.0,  12.2 to 1,82.6,87.2,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         245,39.0,          45,7.0,         200,32.0,         265,42.0,         122,19.0,         632,99.0,493.0,60.0,         605,43.0,         156,25.0,          13,2.0,         143,23.0,         313,50.0,         161,26.0,         630,99.0,484.0,49.0,         605,23.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",20.0
Fitchburg: Reingold Elementary,00970043,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,      29,     118,      98,     107,     130,     110,       0,       0,       0,       0,       0,       0,       0,       0,       0,     592,     210,  35.5,     139,  23.5,     116,  19.6,     484,  81.8, , ,4.6,3.7,52.0,34.0,0.0,0.0,5.7,55.1,44.9,0.0,     247,18.8,        605,42.1,100.0,  14.1 to 1,80.4,97.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          81,35.0,           7,3.0,          74,32.0,         120,51.0,          33,14.0,         234,100.0,493.0,50.0,         103,41.0,          70,30.0,          10,4.0,          60,26.0,         118,50.0,          46,20.0,         234,100.0,489.0,55.0,         104,36.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",43.0
Fitchburg: South Street Early Learning Center,00970060,Public School,Fitchburg,MA,01420,"PK,K",Fitchburg,00970000,Public School District,      44,      92,      97,     116,     127,     110,       0,       0,       0,       0,       0,       0,       0,       0,       0,     586,     235,  40.1,     127,  21.7,     161,  27.5,     513,  87.5, , ,7.2,2.9,59.7,22.0,0.0,0.0,8.2,53.8,46.2,0.0,     298,15.1,        605,46.0,100.0,  12.7 to 1,78.3,95.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          60,27.0,           4,2.0,          56,25.0,         108,48.0,          56,25.0,         224,100.0,487.0,56.0,          95,26.0,          62,28.0,           3,1.0,          59,27.0,         105,47.0,          55,25.0,         222,100.0,485.0,57.0,          94,26.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",36.0
Florida: Abbott Memorial,00980005,Public School,Florida,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Florida,00980000,Public School District,       8,      12,      14,       7,      10,       3,      12,       7,      12,      19,       0,       0,       0,       0,       0,     104,       0,   0.0,       0,   0.0,      20,  19.2,      67,  64.4, , ,1.0,0.0,0.0,99.0,0.0,0.0,0.0,56.7,43.3,0.0,      91,10.2,        104,9.7,89.6,  10.8 to 1,89.6,87.0,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          15,24.0,           1,2.0,          14,22.0,          36,57.0,          12,19.0,          63,100.0,488.0,44.0,          50,26.0,          11,17.0,           0,0.0,          11,17.0,          42,67.0,          10,16.0,          63,100.0,484.0,50.0,          50,23.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",24.0
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Greenfield,MA,01301,"07,08,09,10,11,12",Four Rivers Charter Public (District),04130000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,      35,      39,      38,      30,      38,      38,       0,     218,       0,   0.0,       0,   0.0,      32,  14.7,      91,  41.7, , ,0.9,1.8,5.5,84.4,0.5,0.0,6.9,43.6,55.5,0.9,     209,13.3,        228,20.9,76.4,  10.4 to 1,85.9,95.2,58.1,37.0,91.9,0.0,0.0,5.4,2.7,0.0,     144,2.0,1.4,35.0,31.0,88.6,,,,,,,,,,,,,,,25.0,607.0,552.0,          75,          70,93.3,          44,65.0,           3,4.0,          41,60.0,          20,29.0,           4,6.0,          68,91.0,504.0,61.0,          42,81.0,          28,42.0,           2,3.0,          26,39.0,          35,52.0,           4,6.0,          67,89.0,497.0,61.0,          39,61.0,Low participation rate,84.0
Foxborough: Charles Taylor Elementary,00990050,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District,       0,      45,      57,      57,      49,      40,       0,       0,       0,       0,       0,       0,       0,       0,       0,     248,       9,   3.6,       7,   2.8,      39,  15.7,      83,  33.5, , ,5.6,4.8,8.1,76.2,0.0,0.0,5.2,55.2,44.8,0.0,     115,18.9,        246,21.6,95.4,  11.5 to 1,86.1,100.0,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          42,49.0,           8,9.0,          34,40.0,          35,41.0,           9,10.0,          86,99.0,500.0,60.0,          40,68.0,          50,58.0,           5,6.0,          45,52.0,          32,37.0,           4,5.0,          86,99.0,504.0,72.0,          40,82.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",76.0
Foxborough: Foxborough High,00990505,Public School,Foxborough,MA,02035,"09,10,11,12",Foxborough,00990000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     194,     188,     189,     193,       8,     772,      20,   2.6,       8,   1.0,     133,  17.2,     263,  34.1, , ,8.3,3.2,6.6,79.1,0.6,0.0,2.1,52.2,47.7,0.1,     498,14.4,        805,64.5,98.4,  12.0 to 1,95.3,96.9,97.2,196.0,95.4,2.6,0.0,0.5,1.5,0.0,     764,5.0,0.7,188.0,56.0,29.8,     191,     416,71.0,50.0,43.0,20.0,7.0,28.0,76.0,133.0,95.0,      84,25.0,75.0,186.0,576.0,578.0,         384,         256,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low participation rate,70.0
Foxborough: John J Ahern,00990405,Public School,Foxborough,MA,02035,"05,06,07,08",Foxborough,00990000,Public School District,       0,       0,       0,       0,       0,       0,     195,     169,     178,     212,       0,       0,       0,       0,       0,     754,      52,   6.9,      19,   2.5,     177,  23.5,     319,  42.3, , ,6.4,4.8,7.7,76.0,0.4,0.1,4.6,52.1,47.9,0.0,     442,18.5,        774,60.2,100.0,  12.5 to 1,94.1,100.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         355,48.0,          46,6.0,         309,42.0,         304,41.0,          76,10.0,         735,99.0,498.0,51.0,         712,62.0,         401,55.0,          49,7.0,         352,48.0,         277,38.0,          51,7.0,         729,98.0,502.0,56.0,         706,74.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",65.0
Foxborough: Mabelle M Burrell,00990015,Public School,Foxborough,MA,02035,"PK,K,01,02,03,04",Foxborough,00990000,Public School District,      91,      45,      52,      46,      53,      53,       0,       0,       0,       0,       0,       0,       0,       0,       0,     340,       7,   2.1,       4,   1.2,      69,  20.3,     118,  34.7, , ,5.6,5.3,6.2,79.1,0.3,0.0,3.5,53.2,46.8,0.0,     123,19.5,        361,23.6,100.0,  14.4 to 1,93.6,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          64,60.0,          13,12.0,          51,48.0,          34,32.0,           8,8.0,         106,100.0,505.0,54.0,          50,83.0,          76,72.0,          19,18.0,          57,54.0,          23,22.0,           7,7.0,         106,100.0,511.0,51.0,          50,92.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",88.0
Foxborough: Vincent M Igo Elementary,00990020,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District,       0,      66,      62,      76,      67,      74,       0,       0,       0,       0,       0,       0,       0,       0,       0,     345,      40,  11.6,      18,   5.2,      61,  17.7,     140,  40.6, , ,7.0,6.4,9.3,71.3,0.0,0.3,5.8,55.7,44.3,0.0,     150,20.5,        350,29.3,100.0,  11.8 to 1,86.3,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          76,55.0,          24,18.0,          52,38.0,          52,38.0,           9,7.0,         137,100.0,505.0,57.0,          72,85.0,          82,60.0,          17,13.0,          65,48.0,          48,35.0,           6,4.0,         136,100.0,506.0,54.0,          72,85.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",80.0
Foxborough Regional Charter (District): Foxborough Regional Charter School,04460550,Charter School,Foxborough,MA,02035,"K,01,02,03,04,05,06,07,08,09,10,11,12",Foxborough Regional Charter (District),04460000,Charter District,       0,     146,     147,     146,     151,     147,     141,     141,     139,     143,     118,     101,      88,      81,       0,"   1,689",     292,  17.3,     123,   7.3,     164,   9.7,     917,  54.3, , ,54.8,8.9,6.7,24.0,0.4,0.2,5.1,47.8,52.2,0.0,     667,20.3,"      1,657",136.1,92.5,  12.4 to 1,60.1,81.1,89.7,83.0,97.6,2.4,0.0,0.0,0.0,0.0,     388,1.0,0.3,81.0,81.0,100.0,     127,     197,73.0,39.0,14.0,1.0,0.0,46.0,43.0,52.0,40.0,      16,45.2,54.8,80.0,570.0,525.0,         168,         122,72.6,         262,31.0,          18,2.0,         244,29.0,         429,51.0,         149,18.0,         840,100.0,489.0,42.0,         659,32.0,         206,25.0,          22,3.0,         184,22.0,         480,57.0,         152,18.0,         838,100.0,488.0,49.0,         659,32.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",59.0
Framingham: Barbieri Elementary,01000035,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,     109,     113,     117,     116,     113,     100,       0,       0,       0,       0,       0,       0,       0,       0,     668,     482,  72.2,     383,  57.3,     106,  15.9,     537,  80.4, , ,2.8,0.4,79.6,13.6,0.0,0.0,3.4,48.4,51.6,0.0,     339,19.5,        677,51.4,80.5,  13.0 to 1,63.9,94.2,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          54,17.0,           3,1.0,          51,16.0,         147,47.0,         111,36.0,         312,100.0,481.0,41.0,         197,11.0,          25,8.0,           1,0.0,          24,8.0,         129,41.0,         158,51.0,         312,100.0,471.0,37.0,         197,4.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",9.0
Framingham: Brophy,01000006,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      87,      86,      77,      86,      60,      69,       0,       0,       0,       0,       0,       0,       0,       0,     465,     265,  57.0,     207,  44.5,      88,  18.9,     347,  74.6, , ,5.8,3.0,58.1,28.2,0.2,0.0,4.7,53.8,46.2,0.0,     336,13.9,        475,39.8,84.9,  11.7 to 1,64.8,97.5,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          39,21.0,           4,2.0,          35,19.0,          72,39.0,          76,41.0,         187,99.0,480.0,37.0,         111,9.0,          24,13.0,           3,2.0,          21,11.0,          67,36.0,          97,52.0,         188,99.0,473.0,34.0,         111,5.0,Low student group performance,5.0
