School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,,,,,,,,,     476,     514,,,,,0.0,     990,     163,16.5,      12,1.2,     139,14.0,      31,   3.1, , , , ,0.8,19.4,3.0,75.2,0.0,0.0,1.6,52.5,47.5,57.8,99.3,51.0,100.0,17.1,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      27,     106,     102,     112,     134,     111,,,,,,,,,0.0,     592,       1,0.2,       0,0.0,     108,18.2,      84,  14.2, , , , ,0.3,0.0,0.5,99.2,0.0,0.0,0.0,52.7,47.3,40.5,97.5,38.0,100.0,14.6,"      $3,663,583","  $49,087",     74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,,,,,,,     109,     118,     134,     132,,,,,0.0,     493,       1,0.2,       0,0.0,      62,12.6,      48,   9.7, , , , ,1.2,0.2,0.6,97.0,0.2,0.0,0.8,49.3,50.7,33.6,100.0,28.0,100.0,14.7,"      $3,663,583","  $49,087",     74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,,,,,,,,     146,     143,     120,,,,,0.0,     409,      48,11.7,       0,0.0,      21,5.1,      23,   5.6, , , , ,0.7,11.0,3.2,80.0,0.2,0.0,4.9,58.4,41.6,31.7,31.6,27.0,79.6,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     119,,,,,,,,,,,,,,0.0,     119,       0,0.0,       0,0.0,      45,37.8, , , , , , ,0.0,0.8,0.0,99.2,0.0,0.0,0.0,55.5,44.5,8.6,88.4,6.0,100.0,13.8,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
