School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Brookfield: Brookfield Elementary,00450005,Public School,Brookfield,MA,01506,"PK,K,01,02,03,04,05,06",Brookfield,00450000,Public School District,      32,      35,      26,      35,      34,      35,      29,      51,,,,,,,0.0,     277,       0,0.0,       0,0.0,      45,16.2,      55,  19.9, , , , ,0.4,0.7,4.0,93.1,0.4,0.0,1.4,50.5,49.5,24.2,95.0,23.0,95.6,11.4,"      $1,502,222","  $57,778",     26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Beacon,00460001,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Clark Road,00460003,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Putterham,00460002,Public School,Chestnut Hill,MA,02467,PK,Brookline,00460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline High,00460505,Public School,Brookline,MA,02445,"09,10,11,12",Brookline,00460000,Public School District,      15,,,,,,,,,,     421,     474,     467,     467,6.0,"   1,850",     484,26.2,      44,2.4,     320,17.3,     243,  13.1, , , , ,9.1,14.9,8.6,64.2,0.3,0.1,2.7,50.3,49.7,176.2,96.0,150.0,97.5,10.5,"     $36,718,881","  $67,399",    544.8,       474,91.1,4.6,0.6,1.5,2.1,0.0,451.0,360.0,79.8,0.0,49.635600000000004,5.5062,24.578400000000002,5.5062,2.2343999999999995,11.0922,74.214,343.0,     565,215.0,67.0,38.0,14.0,9.0,20.0,44.0,108.0,163.0,230.0,11.3,88.7,416.0,570.0,587.0
Brookline: Edith C Baker,00460005,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      16,      80,      77,      74,      66,      70,      75,      78,      53,      75,,,,,0.0,     664,     251,37.8,      82,12.3,      92,13.9,      55,   8.3, , , , ,4.5,27.7,6.5,58.4,0.2,0.0,2.7,55.4,44.6,54.8,100.0,49.0,100.0,12.1,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Florida Ruffin Ridley School,00460015,Public School,Brookline,MA,02446,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      16,      85,      83,      69,      73,      86,      77,      78,      69,      83,,,,,0.0,     719,     262,36.4,      90,12.5,     143,19.9,     107,  14.9, , , , ,8.6,11.4,7.4,69.8,0.0,0.3,2.5,48.8,51.2,58.2,99.0,55.0,99.3,12.4,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Heath,00460025,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      14,      54,      45,      52,      39,      41,      34,      36,      35,      40,,,,,0.0,     390,      68,17.4,       9,2.3,      60,15.4,      29,   7.4, , , , ,5.9,14.4,6.7,70.0,0.3,0.0,2.8,51.0,49.0,34.8,97.1,31.0,96.8,11.2,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: John D Runkle,00460045,Public School,Brookline,MA,02445,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      17,      63,      61,      36,      53,      59,      43,      40,      62,      46,,,,,0.0,     480,     132,27.5,      34,7.1,      84,17.5,      68,  14.2, , , , ,9.6,13.8,13.8,59.0,0.0,0.0,4.0,52.9,47.1,44.4,100.0,40.0,100.0,10.8,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Lawrence,00460030,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      29,      77,      78,      49,      54,      59,      51,      40,      45,      46,,,,,0.0,     528,     177,33.5,      78,14.8,      84,15.9,      47,   8.9, , , , ,8.1,29.9,5.5,52.5,0.0,0.0,4.0,50.8,49.2,46.5,100.0,40.0,100.0,11.4,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Michael Driscoll,00460020,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      41,      53,      43,      38,      37,      42,      37,      35,      45,      37,,,,,0.0,     408,     101,24.8,      22,5.4,      70,17.2,      17,   4.2, , , , ,7.4,11.8,6.4,68.4,0.0,0.0,6.1,51.0,49.0,36.6,93.5,34.0,93.5,11.1,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Pierce,00460040,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      15,      76,      67,      60,      67,      62,      70,      55,      59,      56,,,,,0.0,     587,     145,24.7,      50,8.5,      95,16.2,      86,  14.7, , , , ,9.7,22.3,7.5,53.5,0.0,0.0,7.0,50.9,49.1,51.0,96.5,48.0,98.3,11.5,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: The Lynch Center,00460060,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,      59,,,,,,,,,,,,,,0.0,      59,      14,23.7,       0,0.0,      15,25.4, , , , , , ,5.1,27.1,10.2,54.2,0.0,0.0,3.4,49.2,50.8,14.1,100.0,7.0,100.0,4.2,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: William H Lincoln,00460035,Public School,Brookline,MA,02445,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      31,      61,      42,      45,      63,      33,      48,      44,      48,      42,,,,,0.0,     457,     102,22.3,      35,7.7,      90,19.7,      98,  21.4, , , , ,10.5,16.2,10.3,58.9,0.0,0.0,4.2,51.4,48.6,38.9,97.4,36.0,97.3,11.7,"     $36,718,881","  $67,399",    544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Burlington High,00480505,Public School,Burlington,MA,01803,"PK,09,10,11,12",Burlington,00480000,Public School District,,,,,,,,,,,     249,     242,     261,     238,0.0,     990,      71,7.2,      16,1.6,      87,8.8,      52,   5.3, , , , ,2.1,13.3,1.4,81.4,0.1,0.0,1.6,53.1,46.9,82.3,98.5,72.0,95.5,12.0,"     $19,292,930","  $60,046",    321.3,       240,97.1,0.8,0.0,0.4,1.7,0.0,234.0,205.0,87.6,0.0,29.871599999999997,14.5416,43.18679999999999,14.103600000000002,14.9796,20.060399999999998,73.05839999999999,117.0,     178,74.0,31.0,7.0,4.0,1.0,7.0,27.0,48.0,50.0,46.0,19.1,80.9,227.0,522.0,539.0
Burlington: Fox Hill,00480007,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,,      77,      91,      76,     100,      76,      86,,,,,,,,0.0,     506,      39,7.7,       5,1.0,      55,10.9,      20,   4.0, , , , ,5.5,10.7,1.2,80.6,0.0,0.4,1.6,50.2,49.8,38.5,94.8,35.0,94.3,13.1,"     $19,292,930","  $60,046",    321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Francis Wyman Elementary,00480035,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,,      84,      95,      92,      82,     107,      92,,,,,,,,0.0,     552,      79,14.3,      21,3.8,      62,11.2,      31,   5.6, , , , ,4.3,14.1,3.4,75.5,0.4,0.2,2.0,55.4,44.6,45.6,99.1,41.0,99.0,12.1,"     $19,292,930","  $60,046",    321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Marshall Simonds Middle,00480303,Public School,Burlington,MA,01803,"06,07,08",Burlington,00480000,Public School District,,,,,,,,     279,     274,     288,,,,,0.0,     841,      87,10.3,       5,0.6,     122,14.5,      55,   6.5, , , , ,2.3,10.2,2.9,82.4,0.1,0.1,2.0,49.2,50.8,60.0,98.3,48.0,97.9,14.0,"     $19,292,930","  $60,046",    321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Memorial,00480015,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,,      43,      30,      43,      43,      39,      50,,,,,,,,0.0,     248,      47,19.0,       8,3.2,      25,10.1,      16,   6.5, , , , ,2.8,11.3,3.6,76.6,0.4,2.8,2.4,54.8,45.2,22.6,100.0,21.0,100.0,11.0,"     $19,292,930","  $60,046",    321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Pine Glen Elementary,00480020,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,,      68,      55,      74,      71,      65,      58,,,,,,,,0.0,     391,      24,6.1,       6,1.5,      35,9.0,      17,   4.3, , , , ,2.3,9.2,3.3,84.9,0.0,0.0,0.3,51.4,48.6,31.1,96.8,28.0,96.4,12.6,"     $19,292,930","  $60,046",    321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Amigos School,00490006,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05,06,07,08",Cambridge,00490000,Public School District,,      59,      36,      37,      47,      35,      31,      29,      23,      18,,,,,0.0,     315,     148,47.0,      54,17.1,      47,14.9,     143,  45.4, , , , ,9.2,1.9,58.7,28.6,0.3,0.0,1.3,44.1,55.9,30.6,86.9,24.0,83.6,10.3,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Cambridge Rindge and Latin,00490506,Public School,Cambridge,MA,02138,"09,10,11,12",Cambridge,00490000,Public School District,,,,,,,,,,,     394,     384,     414,     414,2.0,"   1,608",     525,32.6,      83,5.2,     288,17.9,     608,  37.8, , , , ,40.4,8.8,14.7,34.4,0.4,0.1,1.2,53.0,47.0,181.2,89.9,124.0,92.5,8.9,"     $43,207,571","  $68,486",    630.9,       450,88.9,6.0,0.9,1.3,2.9,0.0,428.0,303.0,70.8,0.21239999999999998,32.922,18.1956,19.399199999999997,17.770799999999998,4.1772,11.469599999999998,52.32119999999999,151.0,     280,65.0,57.0,19.0,7.0,3.0,37.0,60.0,70.0,70.0,43.0,34.6,65.4,339.0,467.0,469.0
Cambridge: Cambridge Street Upper School,00490305,Public School,Cambridge,MA,02141,"06,07,08",Cambridge,00490000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Cambridgeport,00490007,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      40,      26,      28,      26,      29,      29,      36,      24,      36,,,,,0.0,     274,      39,14.2,       3,1.1,      45,16.4,      84,  30.7, , , , ,35.0,9.9,9.5,41.2,1.1,0.0,3.3,44.2,55.8,27.9,92.8,21.0,90.3,9.8,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Fletcher/Maynard Academy,00490090,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,       6,      43,      21,      17,      28,      31,      20,      18,      18,      15,,,,,0.0,     217,      65,30.0,      14,6.5,      43,19.8,     134,  61.8, , , , ,55.8,6.0,22.1,13.8,0.9,0.0,1.4,58.1,41.9,31.4,90.4,24.0,87.3,6.9,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Graham and Parks,00490080,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      55,      47,      42,      45,      47,      45,      48,      37,      37,,,,,0.0,     403,     115,28.5,      54,13.4,      87,21.6,     114,  28.3, , , , ,24.8,14.6,7.7,50.4,0.7,0.5,1.2,50.9,49.1,35.5,92.5,26.0,89.5,11.4,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Haggerty,00490020,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      60,      50,      40,      35,      35,      20,      16,,,,,,,0.0,     256,      45,17.6,       6,2.3,      75,29.3,      85,  33.2, , , , ,29.3,14.1,5.1,48.8,0.0,0.0,2.7,50.8,49.2,28.2,100.0,20.0,100.0,9.1,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: John M Tobin,00490065,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      18,      50,      37,      22,      28,      35,      34,      31,      27,      22,,,,,0.0,     304,     149,49.0,      73,24.0,      65,21.4,     179,  58.9, , , , ,49.3,19.4,12.2,16.4,1.3,0.3,1.0,55.9,44.1,39.6,100.0,30.0,100.0,7.7,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Kennedy-Longfellow,00490040,Public School,Cambridge,MA,02141,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      13,      54,      30,      23,      27,      31,      21,      64,      64,      64,,,,,0.0,     391,     123,31.5,      11,2.8,      92,23.5,     236,  60.4, , , , ,35.0,12.3,17.4,32.0,0.8,0.3,2.3,53.7,46.3,43.3,100.0,31.0,100.0,9.0,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: King Open,00490035,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      83,      60,      56,      47,      47,      46,      44,      56,      47,,,,,0.0,     486,     137,28.2,      32,6.6,      98,20.2,     197,  40.5, , , , ,26.5,7.2,11.3,51.0,0.8,0.2,2.9,49.8,50.2,43.8,91.6,31.0,94.7,11.1,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Maria L. Baldwin,00490005,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      58,      41,      38,      37,      35,      40,      34,      41,      42,,,,,0.0,     366,      73,19.9,       8,2.2,      69,18.9,     125,  34.2, , , , ,33.9,10.7,9.6,43.2,0.5,0.0,2.2,53.0,47.0,30.0,93.3,23.0,91.3,12.2,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Martin Luther King Jr.,00490030,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,,      52,      30,      19,      14,      16,      21,      17,      23,      25,,,,,0.0,     217,      68,31.3,      18,8.3,      45,20.7,     122,  56.2, , , , ,52.1,18.4,9.2,18.4,0.0,0.0,1.8,52.5,47.5,29.9,93.3,20.0,90.0,7.3,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Morse,00490045,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      13,      58,      38,      36,      32,      38,      39,      27,      31,      24,,,,,0.0,     336,      89,26.5,       7,2.1,      85,25.3,     160,  47.6, , , , ,36.3,14.6,10.7,36.0,0.6,0.0,1.8,48.5,51.5,34.0,91.2,22.0,95.4,9.9,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Peabody,00490050,Public School,Cambridge,MA,02140,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      20,      77,      46,      36,      51,      44,      42,      45,      37,      28,,,,,0.0,     426,     106,24.9,      22,5.2,     102,23.9,     206,  48.4, , , , ,40.4,15.0,7.7,34.0,0.2,0.0,2.6,56.1,43.9,40.1,97.5,28.0,100.0,10.6,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Putnam Avenue Upper School,00490310,Public School,Cambridge,MA,02139,"06,07,08",Cambridge,00490000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Rindge Avenue Upper School,00490315,Public School,Cambridge,MA,02140,"06,07,08",Cambridge,00490000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Vassal Lane Upper School,00490320,Public School,Cambridge,MA,02141,"06,07,08",Cambridge,00490000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $43,207,571","  $68,486",    630.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton: Canton High,00500505,Public School,Canton,MA,02021,"09,10,11,12",Canton,00500000,Public School District,,,,,,,,,,,     208,     192,     191,     236,0.0,     827,      24,2.9,       8,1.0,      90,10.9,      82,   9.9, , , , ,9.3,5.2,4.4,79.6,0.0,0.0,1.6,45.5,54.5,62.2,100.0,51.0,100.0,13.3,"     $14,343,622","  $64,495",    222.4,       242,93.4,1.2,0.4,1.2,3.7,0.0,228.0,191.0,83.8,0.0,33.352399999999996,18.017,32.4306,17.0952,8.2962,14.916400000000001,65.78299999999999,73.0,     120,46.0,11.0,12.0,4.0,0.0,4.0,21.0,46.0,29.0,20.0,20.8,79.2,215.0,525.0,543.0
Canton: Dean S Luce,00500020,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District,      61,     239,      84,      84,      79,      86,      80,,,,,,,,0.0,     713,      20,2.8,      10,1.4,     115,16.1,      61,   8.6, , , , ,5.5,7.7,1.4,84.0,0.1,0.0,1.3,54.7,45.3,47.5,100.0,42.0,100.0,15.0,"     $14,343,622","  $64,495",    222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton: John F Kennedy,00500017,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District,,,      89,      74,      76,      70,      76,,,,,,,,0.0,     385,       5,1.3,       5,1.3,      60,15.6,      29,   7.5, , , , ,5.2,6.8,1.6,85.2,0.0,0.0,1.3,51.4,48.6,28.5,100.0,26.0,100.0,13.5,"     $14,343,622","  $64,495",    222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton: Lt Peter M Hansen,00500012,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District,,,      89,      72,      92,      94,      84,,,,,,,,0.0,     431,      12,2.8,       8,1.9,      57,13.2,      28,   6.5, , , , ,7.4,7.2,4.4,77.0,0.5,0.0,3.5,50.1,49.9,29.9,100.0,27.0,100.0,14.4,"     $14,343,622","  $64,495",    222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton: Rodman Early Childhood Center,00500010,Public School,Canton,MA,02021,PK,Canton,00500000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,343,622","  $64,495",    222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton: Wm H Galvin Middle,00500305,Public School,Canton,MA,02021,"06,07,08",Canton,00500000,Public School District,,,,,,,,     248,     252,     237,,,,,0.0,     737,      26,3.5,       8,1.1,     110,14.9,      62,   8.4, , , , ,9.8,4.6,3.5,79.4,0.5,0.0,2.2,52.5,47.5,55.0,100.0,46.0,100.0,13.4,"     $14,343,622","  $64,495",    222.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Cod Lighthouse Charter (District): Cape Cod Lighthouse Charter School,04320530,Charter School,East Harwich,MA,02645,"06,07,08",Cape Cod Lighthouse Charter (District),04320000,Charter District,,,,,,,,      68,      68,      68,,,,,0.0,     204,       0,0.0,       0,0.0,      38,18.6,      15,   7.4, , , , ,0.5,1.0,2.9,94.6,0.0,0.0,1.0,54.9,45.1,20.4,66.7,17.0,99.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Cod Regional Vocational Technical: Cape Cod Region Vocational Technical,08150605,Public School,Harwich,MA,02645,"09,10,11,12",Cape Cod Regional Vocational Technical,08150000,Public School District,,,,,,,,,,,     167,     189,     180,     150,0.0,     686,      12,1.7,       6,0.9,     184,26.8,     144,  21.0, , , , ,2.8,0.1,6.3,87.8,0.1,0.0,2.9,65.3,34.7,71.1,89.9,27.0,97.3,9.6,"      $4,509,917","  $61,695",     73.1,       152,85.5,3.3,0.7,1.3,9.2,0.0,133.0,60.0,45.1,0.0,10.508300000000002,27.826700000000002,6.765,26.2933,2.255,0.7667,17.273300000000003,,,,,,,,,,,,,,,47.0,424.0,418.0
Carlisle: Carlisle School,00510025,Public School,Carlisle,MA,01741,"PK,K,01,02,03,04,05,06,07,08",Carlisle,00510000,Public School District,      15,      68,      62,      89,      89,      76,      87,     105,     104,      90,,,,,0.0,     785,      24,3.1,       0,0.0,      85,10.8,       6,   0.8, , , , ,0.6,5.7,1.3,91.5,0.3,0.0,0.6,48.3,51.7,68.8,98.4,62.0,98.2,11.4,"      $4,348,119","  $67,517",     64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver: Carver Elementary School,00520015,Public School,Carver,MA,02330,"PK,K,01,02,03,04,05",Carver,00520000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,757,285","  $57,557",    152.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver: Carver Middle/High School,00520405,Public School,Carver,MA,02330,"06,07,08,09,10,11,12",Carver,00520000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,757,285","  $57,557",    152.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Berkshire: Becket Washington School,06350005,Public School,Becket,MA,01223,"PK,K,01,02,03,04,05",Central Berkshire,06350000,Public School District,      19,      12,      19,      15,      17,      11,      17,,,,,,,,0.0,     110,       0,0.0,       0,0.0,      30,27.3,      34,  30.9, , , , ,1.8,0.0,4.5,87.3,0.0,0.0,6.4,47.3,52.7,9.1,100.0,9.0,88.5,12.1,"      $9,086,276","  $58,320",    155.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Berkshire: Craneville,06350025,Public School,Dalton,MA,01226,"K,01,02,03,04,05",Central Berkshire,06350000,Public School District,,      77,      72,      75,      78,      95,      91,,,,,,,,0.0,     488,       4,0.8,       0,0.0,      76,15.6,     108,  22.1, , , , ,0.6,1.4,2.0,93.6,0.0,0.0,2.3,49.2,50.8,33.8,100.0,31.0,100.0,14.4,"      $9,086,276","  $58,320",    155.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Berkshire: Kittredge,06350035,Public School,Hinsdale,MA,01235,"PK,K,01,02,03,04,05",Central Berkshire,06350000,Public School District,      17,      39,      21,      42,      35,      39,      23,,,,,,,,0.0,     216,       1,0.5,       0,0.0,      53,24.5,      54,  25.0, , , , ,0.5,0.5,0.9,94.9,0.0,0.0,3.2,54.6,45.4,14.7,100.0,14.0,100.0,14.7,"      $9,086,276","  $58,320",    155.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Berkshire: Nessacus Regional Middle School,06350305,Public School,Dalton,MA,01226,"06,07,08",Central Berkshire,06350000,Public School District,,,,,,,,     142,     191,     181,,,,,0.0,     514,       2,0.4,       0,0.0,      97,18.9,     131,  25.5, , , , ,1.4,0.8,1.2,94.7,0.0,0.0,1.9,52.1,47.9,35.0,100.0,31.0,100.0,14.7,"      $9,086,276","  $58,320",    155.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Berkshire: Wahconah Regional High,06350505,Public School,Dalton,MA,01226,"09,10,11,12",Central Berkshire,06350000,Public School District,,,,,,,,,,,     182,     157,     197,     164,4.0,     704,       4,0.6,       3,0.4,     104,14.8,     114,  16.2, , , , ,1.1,1.3,1.4,95.0,0.0,0.0,1.1,55.1,44.9,46.0,98.7,38.0,98.4,15.3,"      $9,086,276","  $58,320",    155.8,       181,89.5,0.6,0.0,2.8,7.2,0.0,164.0,126.0,76.8,0.0,32.3328,23.193599999999996,21.3504,23.193599999999996,7.910400000000001,7.296,53.6832,51.0,      90,29.0,12.0,3.0,7.0,0.0,4.0,21.0,32.0,23.0,10.0,27.8,72.2,123.0,519.0,528.0
Chelmsford: Byam School,00560030,Public School,Chelmsford,MA,01824,"K,01,02,03,04",Chelmsford,00560000,Public School District,,      91,      94,      83,      98,     128,,,,,,,,,0.0,     494,      14,2.8,       4,0.8,      44,8.9,      11,   2.2, , , , ,0.6,7.1,1.2,90.3,0.0,0.0,0.8,51.6,48.4,30.0,100.0,28.0,100.0,16.5,"     $21,632,468","  $58,277",    371.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelmsford: Center Elementary School,00560005,Public School,Chelmsford,MA,01824,"K,01,02,03,04",Chelmsford,00560000,Public School District,,      66,      96,      89,     100,      90,,,,,,,,,0.0,     441,      11,2.5,       7,1.6,      58,13.2,      19,   4.3, , , , ,1.6,7.3,1.4,88.2,0.0,0.0,1.6,57.4,42.6,26.9,100.0,25.0,100.0,16.4,"     $21,632,468","  $58,277",    371.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
