School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type
Arlington: Arlington High,00100505,Public School,Arlington,MA,02476,"09,10,11,12",Arlington,00100000,Public School District
Arlington: Brackett,00100010,Public School,Arlington,MA,02476,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: Cyrus E Dallin,00100025,Public School,Arlington,MA,02476,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: Gibbs School,00100305,Public School,Arlington,MA,02474,6,Arlington,00100000,Public School District
Arlington: Hardy,00100030,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: John A Bishop,00100005,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: M Norcross Stratton,00100055,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: Menotomy Preschool,00100038,Public School,Arlington,MA,02476,PK,Arlington,00100000,Public School District
Arlington: Ottoson Middle,00100410,Public School,Arlington,MA,02476,"07,08",Arlington,00100000,Public School District
Arlington: Peirce,00100045,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District
Arlington: Thompson,00100050,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District
Ashburnham-Westminster: Briggs Elementary,06100025,Public School,Ashburnham,MA,01430,"PK,K,01,02,03,04,05",Ashburnham-Westminster,06100000,Public School District
Ashburnham-Westminster: Meetinghouse School,06100010,Public School,Westminster,MA,01473,"PK,K,01",Ashburnham-Westminster,06100000,Public School District
Ashburnham-Westminster: Oakmont Regional High School,06100505,Public School,Ashburnham,MA,01430,"09,10,11,12",Ashburnham-Westminster,06100000,Public School District
Ashburnham-Westminster: Overlook Middle School,06100305,Public School,Ashburnham,MA,01430,"06,07,08",Ashburnham-Westminster,06100000,Public School District
Ashburnham-Westminster: Westminster Elementary,06100005,Public School,Westminster,MA,01473,"02,03,04,05",Ashburnham-Westminster,06100000,Public School District
Ashland: Ashland High,00140505,Public School,Ashland,MA,01721,"09,10,11,12",Ashland,00140000,Public School District
Ashland: Ashland Middle,00140405,Public School,Ashland,MA,01721,"06,07,08",Ashland,00140000,Public School District
Ashland: David Mindess,00140015,Public School,Ashland,MA,01721,"03,04,05",Ashland,00140000,Public School District
Ashland: Henry E Warren Elementary,00140010,Public School,Ashland,MA,01721,"K,01,02",Ashland,00140000,Public School District
Ashland: William Pittaway Elementary,00140005,Public School,Ashland,MA,01721,PK,Ashland,00140000,Public School District
Assabet Valley Regional Vocational Technical: Assabet Valley Vocational High School,08010605,Public School,Marlborough,MA,01752,"09,10,11,12",Assabet Valley Regional Vocational Technical,08010000,Public School District
Athol-Royalston: Athol Community Elementary School,06150020,Public School,Athol,MA,01331,"PK,K,01,02,03,04",Athol-Royalston,06150000,Public School District
Athol-Royalston: Athol High,06150505,Public School,Athol,MA,01331,"09,10,11,12",Athol-Royalston,06150000,Public School District
Athol-Royalston: Athol-Royalston Middle School,06150305,Public School,Athol,MA,01331,"05,06,07,08",Athol-Royalston,06150000,Public School District
Athol-Royalston: Royalston Community School,06150050,Public School,Royalston,MA,01368,"PK,K,01,02,03,04,05,06",Athol-Royalston,06150000,Public School District
Atlantis Charter (District): Atlantis Charter School,04910550,Charter School,Fall River,MA,02721,"K,01,02,03,04,05,06,07,08,09,10,11,12",Atlantis Charter (District),04910000,Charter District
Attleboro: A. Irvin Studley Elementary School,00160001,Public School,Attleboro,MA,02703,"K,01,02,03,04",Attleboro,00160000,Public School District
Attleboro: Attleboro Community Academy,00160515,Public School,Attleboro,MA,02703,"09,10,11,12",Attleboro,00160000,Public School District
Attleboro: Attleboro High,00160505,Public School,Attleboro,MA,02703,"09,10,11,12",Attleboro,00160000,Public School District
Attleboro: Attleboro Virtual Academy,00160705,Public School,Attleboro,MA,02703,"09,10,11,12",Attleboro,00160000,Public School District
Attleboro: Cyril K. Brennan Middle School,00160315,Public School,Attleboro,MA,02703,"05,06,07,08",Attleboro,00160000,Public School District
Attleboro: Early Learning Center,00160008,Public School,Attleboro,MA,02703,PK,Attleboro,00160000,Public School District
Attleboro: Hill-Roberts Elementary School,00160045,Public School,Attleboro,MA,02703,"K,01,02,03,04",Attleboro,00160000,Public School District
Attleboro: Hyman Fine Elementary School,00160040,Public School,Attleboro,MA,02703,"K,01,02,03,04",Attleboro,00160000,Public School District
Attleboro: Peter Thacher Elementary School,00160050,Public School,Attleboro,MA,02703,"K,01,02,03,04",Attleboro,00160000,Public School District
Attleboro: Robert J. Coelho Middle School,00160305,Public School,Attleboro,MA,02703,"05,06,07,08",Attleboro,00160000,Public School District
Attleboro: Thomas Willett Elementary School,00160035,Public School,Attleboro,MA,02703,"K,01,02,03,04",Attleboro,00160000,Public School District
Attleboro: Wamsutta Middle School,00160320,Public School,Attleboro,MA,02703,"05,06,07,08",Attleboro,00160000,Public School District
Auburn: Auburn Middle,00170305,Public School,Auburn,MA,01501,"06,07,08",Auburn,00170000,Public School District
Auburn: Auburn Senior High,00170505,Public School,Auburn,MA,01501,"PK,09,10,11,12",Auburn,00170000,Public School District
Auburn: Bryn Mawr,00170010,Public School,Auburn,MA,01501,"K,01,02",Auburn,00170000,Public School District
Auburn: Pakachoag School,00170025,Public School,Auburn,MA,01501,"K,01,02",Auburn,00170000,Public School District
Auburn: Swanson Road Intermediate School,00170030,Public School,Auburn,MA,01501,"03,04,05",Auburn,00170000,Public School District
Avon: Avon Middle High School,00180510,Public School,Avon,MA,02322,"07,08,09,10,11,12",Avon,00180000,Public School District
Avon: Ralph D Butler,00180010,Public School,Avon,MA,02322,"PK,K,01,02,03,04,05,06",Avon,00180000,Public School District
Ayer Shirley School District: Ayer Shirley Regional High School,06160505,Public School,Ayer,MA,01432,"09,10,11,12",Ayer Shirley School District,06160000,Public School District
Ayer Shirley School District: Ayer Shirley Regional Middle School,06160305,Public School,Shirley,MA,01464,"06,07,08",Ayer Shirley School District,06160000,Public School District
Ayer Shirley School District: Lura A. White Elementary School,06160001,Public School,Shirley,MA,01464,"K,01,02,03,04,05",Ayer Shirley School District,06160000,Public School District
Ayer Shirley School District: Page Hilltop Elementary School,06160002,Public School,Ayer,MA,01432,"PK,K,01,02,03,04,05",Ayer Shirley School District,06160000,Public School District
Barnstable: Barnstable Community Innovation School,00200012,Public School,Hyannis,MA,02601,"K,01,02,03",Barnstable,00200000,Public School District
Barnstable: Barnstable High,00200505,Public School,Hyannis,MA,02601,"08,09,10,11,12",Barnstable,00200000,Public School District
Barnstable: Barnstable Intermediate School,00200315,Public School,Hyannis,MA,02601,"06,07",Barnstable,00200000,Public School District
Barnstable: Barnstable United Elementary School,00200050,Public School,Marston Mills,MA,02648,"04,05",Barnstable,00200000,Public School District
Barnstable: Centerville Elementary,00200010,Public School,Centerville,MA,02632,"K,01,02,03",Barnstable,00200000,Public School District
Barnstable: Enoch Cobb Early Learning Center,00200001,Public School,Hyannis,MA,02601,PK,Barnstable,00200000,Public School District
Barnstable: Hyannis West Elementary,00200025,Public School,Hyannis,MA,02601,"K,01,02,03",Barnstable,00200000,Public School District
Barnstable: West Barnstable Elementary,00200005,Public School,West Barnstable,MA,02668,"K,01,02,03",Barnstable,00200000,Public School District
Barnstable: West Villages Elementary School,00200045,Public School,Marstons Mills,MA,02648,"K,01,02,03",Barnstable,00200000,Public School District
Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,35020405,Charter School,Springfield,MA,01104,"06,07,08,09,10,11,12",Baystate Academy Charter Public School (District),35020000,Charter District
Bedford: Bedford High,00230505,Public School,Bedford,MA,01730,"09,10,11,12",Bedford,00230000,Public School District
Bedford: John Glenn Middle,00230305,Public School,Bedford,MA,01730,"06,07,08",Bedford,00230000,Public School District
Bedford: Lt Eleazer Davis,00230010,Public School,Bedford,MA,01730,"PK,K,01,02",Bedford,00230000,Public School District
Bedford: Lt Job Lane School,00230012,Public School,Bedford,MA,01730,"03,04,05",Bedford,00230000,Public School District
Belchertown: Belchertown High,00240505,Public School,Belchertown,MA,01007,"09,10,11,12",Belchertown,00240000,Public School District
Belchertown: Chestnut Hill Community School,00240006,Public School,Belchertown,MA,01007,"04,05,06",Belchertown,00240000,Public School District
Belchertown: Cold Spring,00240005,Public School,Belchertown,MA,01007,"PK,K",Belchertown,00240000,Public School District
Belchertown: Jabish Middle School,00240025,Public School,Belchertown,MA,01007,"07,08",Belchertown,00240000,Public School District
Belchertown: Swift River Elementary,00240018,Public School,Belchertown,MA,01007,"01,02,03",Belchertown,00240000,Public School District
Bellingham: Bellingham Early Childhood Center,00250003,Public School,Bellingham,MA,02019,PK,Bellingham,00250000,Public School District
Bellingham: Bellingham High School,00250505,Public School,Bellingham,MA,02019,"08,09,10,11,12",Bellingham,00250000,Public School District
Bellingham: Bellingham Memorial School,00250315,Public School,Bellingham,MA,02019,"04,05,06,07",Bellingham,00250000,Public School District
Bellingham: Joseph F DiPietro Elementary School,00250020,Public School,Bellingham,MA,02019,"K,01,02,03",Bellingham,00250000,Public School District
Bellingham: Keough Memorial Academy,00250510,Public School,Bellingham,MA,02019,"07,08,09,10,11,12",Bellingham,00250000,Public School District
Bellingham: Stall Brook,00250025,Public School,Bellingham,MA,02019,"K,01,02,03",Bellingham,00250000,Public School District
Belmont: Belmont High,00260505,Public School,Belmont,MA,02478,"09,10,11,12",Belmont,00260000,Public School District
Belmont: Daniel Butler,00260015,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District
Belmont: Mary Lee Burbank,00260010,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District
Belmont: Roger E Wellington,00260035,Public School,Belmont,MA,02478,"PK,K,01,02,03,04",Belmont,00260000,Public School District
Belmont: Winn Brook,00260005,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District
Belmont: Winthrop L Chenery Middle,00260305,Public School,Belmont,MA,02478,"05,06,07,08",Belmont,00260000,Public School District
Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,04200205,Charter School,Cambridge,MA,02140,"PK,K,01,02,03,04,05,06",Benjamin Banneker Charter Public (District),04200000,Charter District
Benjamin Franklin Classical Charter Public (District): Benjamin Franklin Classical Charter Public School,04470205,Charter School,Franklin,MA,02038,"K,01,02,03,04,05,06,07,08",Benjamin Franklin Classical Charter Public (District),04470000,Charter District
Berkley: Berkley Community School,00270010,Public School,Berkley,MA,02779,"PK,K,01,02,03,04",Berkley,00270000,Public School District
