School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type
Cambridge: Cambridge Rindge and Latin,00490506,Public School,Cambridge,MA,02138,"09,10,11,12",Cambridge,00490000,Public School District
Cambridge: Cambridge Street Upper School,00490305,Public School,Cambridge,MA,02141,"06,07,08",Cambridge,00490000,Public School District
Cambridge: Cambridgeport,00490007,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Fletcher/Maynard Academy,00490090,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Graham and Parks,00490080,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Haggerty,00490020,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: John M Tobin,00490065,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Kennedy-Longfellow,00490040,Public School,Cambridge,MA,02141,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: King Open,00490035,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Maria L. Baldwin,00490005,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Martin Luther King Jr.,00490030,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Morse,00490045,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Peabody,00490050,Public School,Cambridge,MA,02140,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District
Cambridge: Putnam Avenue Upper School,00490310,Public School,Cambridge,MA,02139,"06,07,08",Cambridge,00490000,Public School District
Cambridge: Rindge Avenue Upper School,00490315,Public School,Cambridge,MA,02140,"06,07,08",Cambridge,00490000,Public School District
Cambridge: Vassal Lane Upper School,00490320,Public School,Cambridge,MA,02141,"06,07,08",Cambridge,00490000,Public School District
Canton: Canton High,00500505,Public School,Canton,MA,02021,"09,10,11,12",Canton,00500000,Public School District
Canton: Dean S Luce,00500020,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District
Canton: John F Kennedy,00500017,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District
Canton: Lt Peter M Hansen,00500012,Public School,Canton,MA,02021,"K,01,02,03,04,05",Canton,00500000,Public School District
Canton: Rodman Early Childhood Center,00500010,Public School,Canton,MA,02021,PK,Canton,00500000,Public School District
Canton: Wm H Galvin Middle,00500305,Public School,Canton,MA,02021,"06,07,08",Canton,00500000,Public School District
Cape Cod Lighthouse Charter (District): Cape Cod Lighthouse Charter School,04320530,Charter School,East Harwich,MA,02645,"06,07,08",Cape Cod Lighthouse Charter (District),04320000,Charter District
Cape Cod Regional Vocational Technical: Cape Cod Region Vocational Technical,08150605,Public School,Harwich,MA,02645,"09,10,11,12",Cape Cod Regional Vocational Technical,08150000,Public School District
Carlisle: Carlisle School,00510025,Public School,Carlisle,MA,01741,"PK,K,01,02,03,04,05,06,07,08",Carlisle,00510000,Public School District
Carver: Carver Elementary School,00520015,Public School,Carver,MA,02330,"PK,K,01,02,03,04,05",Carver,00520000,Public School District
Carver: Carver Middle/High School,00520405,Public School,Carver,MA,02330,"06,07,08,09,10,11,12",Carver,00520000,Public School District
Central Berkshire: Becket Washington School,06350005,Public School,Becket,MA,01223,"PK,K,01,02,03,04,05",Central Berkshire,06350000,Public School District
Central Berkshire: Craneville,06350025,Public School,Dalton,MA,01226,"K,01,02,03,04,05",Central Berkshire,06350000,Public School District
Central Berkshire: Kittredge,06350035,Public School,Hinsdale,MA,01235,"PK,K,01,02,03,04,05",Central Berkshire,06350000,Public School District
Central Berkshire: Nessacus Regional Middle School,06350305,Public School,Dalton,MA,01226,"06,07,08",Central Berkshire,06350000,Public School District
Central Berkshire: Wahconah Regional High,06350505,Public School,Dalton,MA,01226,"09,10,11,12",Central Berkshire,06350000,Public School District
Chelmsford: Byam School,00560030,Public School,Chelmsford,MA,01824,"K,01,02,03,04",Chelmsford,00560000,Public School District
Chelmsford: Center Elementary School,00560005,Public School,Chelmsford,MA,01824,"K,01,02,03,04",Chelmsford,00560000,Public School District
Chelmsford: Charles D Harrington,00560025,Public School,North Chelmsford,MA,01863,"K,01,02,03,04",Chelmsford,00560000,Public School District
Chelmsford: Chelmsford High,00560505,Public School,North Chelmsford,MA,01863,"09,10,11,12",Chelmsford,00560000,Public School District
Chelmsford: Col Moses Parker School,00560305,Public School,Chelmsford,MA,01824,"05,06,07,08",Chelmsford,00560000,Public School District
Chelmsford: Community Education Center,00560001,Public School,Chelmsford,MA,01824,PK,Chelmsford,00560000,Public School District
Chelmsford: McCarthy Middle School,00560310,Public School,Chelmsford,MA,01824,"05,06,07,08",Chelmsford,00560000,Public School District
Chelmsford: South Row,00560015,Public School,Chelmsford,MA,01824,"K,01,02,03,04",Chelmsford,00560000,Public School District
Chelsea: Chelsea High,00570505,Public School,Chelsea,MA,02150,"09,10,11,12",Chelsea,00570000,Public School District
Chelsea: Chelsea Opportunity Academy,00570515,Public School,Chelsea,MA,02150,"09,10,11,12",Chelsea,00570000,Public School District
Chelsea: Chelsea Virtual Learning Academy,00570705,Public School,Chelsea,MA,02150,"K,01,02,03,04,05,06,07,08,09,10,11,12",Chelsea,00570000,Public School District
Chelsea: Clark Avenue School,00570050,Public School,Chelsea,MA,02150,"05,06,07,08",Chelsea,00570000,Public School District
Chelsea: Edgar A Hooks Elementary,00570030,Public School,Chelsea,MA,02150,"01,02,03,04",Chelsea,00570000,Public School District
Chelsea: Eugene Wright Science and Technology Academy,00570045,Public School,Chelsea,MA,02150,"05,06,07,08",Chelsea,00570000,Public School District
Chelsea: Frank M Sokolowski Elementary,00570040,Public School,Chelsea,MA,02150,"01,02,03,04",Chelsea,00570000,Public School District
Chelsea: George F. Kelly Elementary,00570035,Public School,Chelsea,MA,02150,"01,02,03,04,05,06",Chelsea,00570000,Public School District
Chelsea: Joseph A. Browne School,00570055,Public School,Chelsea,MA,02150,"05,06,07,08",Chelsea,00570000,Public School District
Chelsea: Shurtleff Early Childhood,00570003,Public School,Chelsea,MA,02150,"PK,K,01",Chelsea,00570000,Public School District
Chelsea: William A Berkowitz Elementary,00570025,Public School,Chelsea,MA,02150,"01,02,03,04",Chelsea,00570000,Public School District
Chesterfield-Goshen: New Hingham Regional Elementary,06320025,Public School,Chesterfield,MA,01012,"PK,K,01,02,03,04,05,06",Chesterfield-Goshen,06320000,Public School District
Chicopee: Barry,00610003,Public School,Chicopee,MA,01020,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Belcher,00610010,Public School,Chicopee,MA,01020,"PK,K,01,02",Chicopee,00610000,Public School District
Chicopee: Bellamy Middle,00610305,Public School,Chicopee,MA,01020,"06,07,08",Chicopee,00610000,Public School District
Chicopee: Bowe,00610015,Public School,Chicopee,MA,01013,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Bowie,00610020,Public School,Chicopee,MA,01022,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Chicopee Academy,00610021,Public School,Chicopee,MA,01020,"06,07,08,09,10,11,12",Chicopee,00610000,Public School District
Chicopee: Chicopee Comprehensive High School,00610510,Public School,Chicopee,MA,01020,"09,10,11,12",Chicopee,00610000,Public School District
Chicopee: Chicopee High,00610505,Public School,Chicopee,MA,01020,"09,10,11,12",Chicopee,00610000,Public School District
Chicopee: Dupont Middle,00610310,Public School,Chicopee,MA,01013,"06,07,08",Chicopee,00610000,Public School District
Chicopee: Fairview Elementary,00610050,Public School,Chicopee,MA,01020,"PK,K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Gen John J Stefanik,00610090,Public School,Chicopee,MA,01013,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Lambert-Lavoie,00610040,Public School,Chicopee,MA,01020,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Litwin,00610022,Public School,Chicopee,MA,01020,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Streiber Memorial School,00610065,Public School,Chicopee,MA,01020,"K,01,02,03,04,05",Chicopee,00610000,Public School District
Chicopee: Szetela Early Childhood Center,00610001,Public School,Chicopee,MA,01013,PK,Chicopee,00610000,Public School District
Christa McAuliffe Charter School (District): Christa McAuliffe Charter School,04180305,Charter School,Framingham,MA,01701,"06,07,08",Christa McAuliffe Charter School (District),04180000,Charter District
City on a Hill Charter Public School (District): City on a Hill Charter Public School,04370505,Charter School,Roxbury,MA,02119,"09,10,11,12",City on a Hill Charter Public School (District),04370000,Charter District
Clarksburg: Clarksburg Elementary,00630010,Public School,Clarksburg,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Clarksburg,00630000,Public School District
Clinton: Clinton Elementary,00640050,Public School,Clinton,MA,01510,"PK,K,01,02,03,04",Clinton,00640000,Public School District
Clinton: Clinton Middle School,00640305,Public School,Clinton,MA,01510,"05,06,07,08",Clinton,00640000,Public School District
Clinton: Clinton Senior High,00640505,Public School,Clinton,MA,01510,"PK,09,10,11,12",Clinton,00640000,Public School District
Codman Academy Charter Public (District): Codman Academy Charter Public School,04380505,Charter School,Dorchester,MA,02124,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Codman Academy Charter Public (District),04380000,Charter District
Cohasset: Cohasset High School,00650505,Public School,Cohasset,MA,02025,"09,10,11,12",Cohasset,00650000,Public School District
Cohasset: Cohasset Middle School,00650305,Public School,Cohasset,MA,02025,"06,07,08",Cohasset,00650000,Public School District
Cohasset: Deer Hill,00650005,Public School,Cohasset,MA,02025,"03,04,05",Cohasset,00650000,Public School District
Cohasset: Joseph Osgood,00650010,Public School,Cohasset,MA,02025,"PK,K,01,02",Cohasset,00650000,Public School District
Collegiate Charter School of Lowell (District): Collegiate Charter School of Lowell,35030205,Charter School,Lowell,MA,01851,"K,01,02,03,04,05,06,07,08,09,10,11,12",Collegiate Charter School of Lowell (District),35030000,Charter District
Community Charter School of Cambridge (District): Community Charter School of Cambridge,04360305,Charter School,Cambridge,MA,02141,"06,07,08,09,10,11,12",Community Charter School of Cambridge (District),04360000,Charter District
Community Day Charter Public School (District): Community Day Charter Public School,04400205,Charter School,Lawrence,MA,01841,"PK,K,01,02,03,04,05,06,07,08",Community Day Charter Public School (District),04400000,Charter District
Concord: Alcott,00670005,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District
Concord: Concord Middle,00670305,Public School,Concord,MA,01742,"06,07,08",Concord,00670000,Public School District
Concord: Thoreau,00670020,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District
Concord: Willard,00670030,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District
Concord-Carlisle: Concord Carlisle High,06400505,Public School,Concord,MA,01742,"09,10,11,12",Concord-Carlisle,06400000,Public School District
Conservatory Lab Charter (District): Conservatory Lab Charter School,04390050,Charter School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06,07,08",Conservatory Lab Charter (District),04390000,Charter District
Conway: Conway Grammar,00680005,Public School,Conway,MA,01341,"PK,K,01,02,03,04,05,06",Conway,00680000,Public School District
Danvers: Danvers High,00710505,Public School,Danvers,MA,01923,"09,10,11,12",Danvers,00710000,Public School District
Danvers: Great Oak,00710015,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District
Danvers: Highlands,00710010,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District
Danvers: Holten Richmond Middle School,00710305,Public School,Danvers,MA,01923,"06,07,08",Danvers,00710000,Public School District
Danvers: Ivan G Smith,00710032,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District
Danvers: Riverside,00710030,Public School,Danvers,MA,01923,"PK,K,01,02,03,04,05",Danvers,00710000,Public School District
Danvers: Willis E Thorpe,00710045,Public School,Danvers,MA,01923,"PK,K,01,02,03,04,05",Danvers,00710000,Public School District
Dartmouth: Andrew B. Cushman School,00720005,Public School,Dartmouth,MA,02748,"PK,K",Dartmouth,00720000,Public School District
Dartmouth: Dartmouth High,00720505,Public School,Dartmouth,MA,02748,"09,10,11,12",Dartmouth,00720000,Public School District
Dartmouth: Dartmouth Middle,00720050,Public School,North Dartmouth,MA,02747,"06,07,08",Dartmouth,00720000,Public School District
Dartmouth: George H Potter,00720030,Public School,North Dartmouth,MA,02747,"PK,K,01,02,03,04,05",Dartmouth,00720000,Public School District
Dartmouth: James M. Quinn School,00720040,Public School,Dartmouth,MA,02747,"K,01,02,03,04,05",Dartmouth,00720000,Public School District
Dartmouth: Joseph Demello,00720015,Public School,South Dartmouth,MA,02748,"01,02,03,04,05",Dartmouth,00720000,Public School District
Dedham: Avery,00730010,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District
Dedham: Dedham High,00730505,Public School,Dedham,MA,02026,"09,10,11,12",Dedham,00730000,Public School District
Dedham: Dedham Middle School,00730305,Public School,Dedham,MA,02026,"06,07,08",Dedham,00730000,Public School District
Dedham: Early Childhood Center,00730005,Public School,Dedham,MA,02026,"PK,K",Dedham,00730000,Public School District
Dedham: Greenlodge,00730025,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District
Dedham: Oakdale,00730030,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District
Dedham: Riverdale,00730045,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District
Deerfield: Deerfield Elementary,00740015,Public School,South Deerfield,MA,01373,"PK,K,01,02,03,04,05,06",Deerfield,00740000,Public School District
Dennis-Yarmouth: Dennis-Yarmouth Intermediate School,06450050,Public School,South Yarmouth,MA,02664,"04,05",Dennis-Yarmouth,06450000,Public School District
Dennis-Yarmouth: Dennis-Yarmouth Middle School,06450305,Public School,South Yarmouth,MA,02664,"06,07",Dennis-Yarmouth,06450000,Public School District
Dennis-Yarmouth: Dennis-Yarmouth Regional High,06450505,Public School,South Yarmouth,MA,02664,"08,09,10,11,12",Dennis-Yarmouth,06450000,Public School District
Dennis-Yarmouth: Ezra H Baker Innovation School,06450005,Public School,West Dennis,MA,02670,"PK,K,01,02,03",Dennis-Yarmouth,06450000,Public School District
Dennis-Yarmouth: Marguerite E Small Elementary,06450015,Public School,West Yarmouth,MA,02673,"PK,K,01,02,03",Dennis-Yarmouth,06450000,Public School District
Dennis-Yarmouth: Station Avenue Elementary,06450025,Public School,South Yarmouth,MA,02664,"K,01,02,03",Dennis-Yarmouth,06450000,Public School District
Dighton-Rehoboth: Dighton Elementary,06500005,Public School,Dighton,MA,02715,"PK,K,01,02,03,04",Dighton-Rehoboth,06500000,Public School District
Dighton-Rehoboth: Dighton Middle School,06500305,Public School,Dighton,MA,02715,"05,06,07,08",Dighton-Rehoboth,06500000,Public School District
Dighton-Rehoboth: Dighton-Rehoboth Regional High School,06500505,Public School,North Dighton,MA,02764,"PK,09,10,11,12",Dighton-Rehoboth,06500000,Public School District
Dighton-Rehoboth: Dorothy L Beckwith,06500310,Public School,Rehoboth,MA,02769,"05,06,07,08",Dighton-Rehoboth,06500000,Public School District
Dighton-Rehoboth: Palmer River,06500010,Public School,Rehoboth,MA,02769,"PK,K,01,02,03,04",Dighton-Rehoboth,06500000,Public School District
Douglas: Douglas Elementary School,00770015,Public School,Douglas,MA,01516,"02,03,04,05",Douglas,00770000,Public School District
Douglas: Douglas High School,00770505,Public School,Douglas,MA,01516,"09,10,11,12",Douglas,00770000,Public School District
Douglas: Douglas Middle School,00770305,Public School,Douglas,MA,01516,"06,07,08",Douglas,00770000,Public School District
Douglas: Douglas Primary School,00770005,Public School,Douglas,MA,01516,"PK,K,01",Douglas,00770000,Public School District
Dover: Chickering,00780005,Public School,Dover,MA,02030,"PK,K,01,02,03,04,05",Dover,00780000,Public School District
Dover-Sherborn: Dover-Sherborn Regional High,06550505,Public School,Dover,MA,02030,"09,10,11,12",Dover-Sherborn,06550000,Public School District
Dover-Sherborn: Dover-Sherborn Regional Middle School,06550405,Public School,Dover,MA,02030,"06,07,08",Dover-Sherborn,06550000,Public School District
Dracut: Brookside Elementary,00790035,Public School,Dracut,MA,01826,"PK,K,01,02,03,04,05",Dracut,00790000,Public School District
Dracut: Dracut Senior High,00790505,Public School,Dracut,MA,01826,"09,10,11,12",Dracut,00790000,Public School District
Dracut: George H. Englesby Elementary School,00790045,Public School,Dracut,MA,01826,"K,01,02,03,04,05",Dracut,00790000,Public School District
Dracut: Greenmont Avenue,00790030,Public School,Dracut,MA,01826,"K,01,02,03,04,05",Dracut,00790000,Public School District
Dracut: Joseph A Campbell Elementary,00790020,Public School,Dracut,MA,01826,"PK,K,01,02,03,04,05",Dracut,00790000,Public School District
Dracut: Justus C. Richardson Middle School,00790410,Public School,Dracut,MA,01826,"06,07,08",Dracut,00790000,Public School District
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,04070405,Charter School,Boston,MA,02119,"PK,K,01,02,03,04,05",Dudley Street Neighborhood Charter School (District),04070000,Charter District
Dudley-Charlton Reg: Charlton Elementary,06580020,Public School,Charlton,MA,01507,"PK,K,01",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Charlton Middle School,06580310,Public School,Charlton,MA,01507,"05,06,07,08",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Dudley Elementary,06580005,Public School,Dudley,MA,01571,"02,03,04",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Dudley Middle School,06580305,Public School,Dudley,MA,01571,"05,06,07,08",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Heritage School,06580030,Public School,Charlton,MA,01507,"02,03,04",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Mason Road School,06580010,Public School,Dudley,MA,01571,"PK,K,01",Dudley-Charlton Reg,06580000,Public School District
Dudley-Charlton Reg: Shepherd Hill Regional High,06580505,Public School,Dudley,MA,01571,"09,10,11,12",Dudley-Charlton Reg,06580000,Public School District
Duxbury: Alden School,00820004,Public School,Duxbury,MA,02332,"03,04,05",Duxbury,00820000,Public School District
Duxbury: Chandler Elementary,00820006,Public School,Duxbury,MA,02332,"PK,K,01,02",Duxbury,00820000,Public School District
Duxbury: Duxbury High,00820505,Public School,Duxbury,MA,02332,"09,10,11,12",Duxbury,00820000,Public School District
Duxbury: Duxbury Middle,00820305,Public School,Duxbury,MA,02332,"06,07,08",Duxbury,00820000,Public School District
East Bridgewater: Central,00830005,Public School,East Bridgewater,MA,02333,"PK,K,01,02",East Bridgewater,00830000,Public School District
East Bridgewater: East Bridgewater JR./SR. High School,00830505,Public School,East Bridgewater,MA,02333,"07,08,09,10,11,12",East Bridgewater,00830000,Public School District
East Bridgewater: Gordon W. Mitchell School,00830010,Public School,East Bridgewater,MA,02333,"03,04,05,06",East Bridgewater,00830000,Public School District
East Longmeadow: Birchland Park,00870305,Public School,East Longmeadow,MA,01028,"06,07,08",East Longmeadow,00870000,Public School District
East Longmeadow: East Longmeadow High,00870505,Public School,East Longmeadow,MA,01028,"09,10,11,12",East Longmeadow,00870000,Public School District
East Longmeadow: Mapleshade,00870010,Public School,East Longmeadow,MA,01028,"03,04,05",East Longmeadow,00870000,Public School District
East Longmeadow: Meadow Brook,00870013,Public School,East Longmeadow,MA,01028,"PK,K,01,02",East Longmeadow,00870000,Public School District
East Longmeadow: Mountain View,00870015,Public School,East Longmeadow,MA,01028,"03,04,05",East Longmeadow,00870000,Public School District
Eastham: Eastham Elementary,00850005,Public School,Eastham,MA,02642,"PK,K,01,02,03,04,05",Eastham,00850000,Public School District
Easthampton: Easthampton High,00860505,Public School,Easthampton,MA,01027,"09,10,11,12",Easthampton,00860000,Public School District
Easthampton: Mountain View School,00860415,Public School,Easthampton,MA,01027,"PK,K,01,02,03,04,05,06,07,08",Easthampton,00860000,Public School District
Easton: Blanche A. Ames Elementary School,00880015,Public School,North Easton,MA,02356,"PK,K,01,02",Easton,00880000,Public School District
Easton: Easton Middle School,00880405,Public School,North Easton,MA,02356,"06,07,08",Easton,00880000,Public School District
Easton: Oliver Ames High,00880505,Public School,North Easton,MA,02356,"09,10,11,12",Easton,00880000,Public School District
Easton: Richardson Olmsted School,00880025,Public School,North Easton,MA,02356,"03,04,05",Easton,00880000,Public School District
Edgartown: Edgartown Elementary,00890005,Public School,Edgartown,MA,02539,"PK,K,01,02,03,04,05,06,07,08",Edgartown,00890000,Public School District
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District): Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,04520505,Charter School,Boston,MA,02115,"09,10,11,12",Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,Charter District
Erving: Erving Elementary,00910030,Public School,Erving,MA,01344,"PK,K,01,02,03,04,05,06",Erving,00910000,Public School District
Essex North Shore Agricultural and Technical School District: Essex North Shore Agricultural and Technical School,08170505,Public School,Hathorne,MA,01937,"09,10,11,12",Essex North Shore Agricultural and Technical School District,08170000,Public School District
Everett: Adams School,00930003,Public School,Everett,MA,02149,PK,Everett,00930000,Public School District
Everett: Devens School,00930030,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08,09,10,11,12",Everett,00930000,Public School District
Everett: Everett High,00930505,Public School,Everett,MA,02149,"09,10,11,12",Everett,00930000,Public School District
Everett: George Keverian School,00930028,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08",Everett,00930000,Public School District
Everett: Lafayette School,00930038,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08",Everett,00930000,Public School District
Everett: Madeline English School,00930018,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08",Everett,00930000,Public School District
Everett: Parlin School,00930058,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08",Everett,00930000,Public School District
Everett: Sumner G. Whittier School,00930010,Public School,Everett,MA,02149,"K,01,02,03,04,05,06,07,08",Everett,00930000,Public School District
Everett: Webster Extension,00930001,Public School,Everett,MA,02149,PK,Everett,00930000,Public School District
Everett: Webster School,00930015,Public School,Everett,MA,02149,"PK,K,01,02,03,04,05",Everett,00930000,Public School District
Excel Academy Charter (District): Excel Academy Charter School,04100205,Charter School,East Boston,MA,02128,"05,06,07,08,09,10,11,12",Excel Academy Charter (District),04100000,Charter District
Fairhaven: East Fairhaven,00940010,Public School,Fairhaven,MA,02719,"PK,K,01,02,03,04,05",Fairhaven,00940000,Public School District
Fairhaven: Fairhaven High,00940505,Public School,Fairhaven,MA,02719,"09,10,11,12",Fairhaven,00940000,Public School District
Fairhaven: Hastings Middle,00940305,Public School,Fairhaven,MA,02719,"06,07,08",Fairhaven,00940000,Public School District
Fairhaven: Leroy Wood,00940030,Public School,Fairhaven,MA,02719,"PK,K,01,02,03,04,05",Fairhaven,00940000,Public School District
Fall River: B M C Durfee High,00950505,Public School,Fall River,MA,02720,"09,10,11,12",Fall River,00950000,Public School District
Fall River: Carlton M. Viveiros Elementary School,00950009,Public School,Fall River,MA,02724,"K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Early Learning Center,00950001,Public School,Fall River,MA,02721,PK,Fall River,00950000,Public School District
Fall River: Henry Lord Community School,00950017,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05,06,07,08",Fall River,00950000,Public School District
Fall River: James Tansey,00950140,Public School,Fall River,MA,02720,"K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: John J Doran,00950045,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05,06,07,08",Fall River,00950000,Public School District
Fall River: Letourneau Elementary School,00950013,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Mary Fonseca Elementary School,00950011,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Matthew J Kuss Middle,00950320,Public School,Fall River,MA,02724,"06,07,08",Fall River,00950000,Public School District
Fall River: Morton Middle,00950315,Public School,Fall River,MA,02720,"06,07,08",Fall River,00950000,Public School District
Fall River: North End Elementary,00950005,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Resiliency Preparatory Academy,00950525,Public School,Fall River,MA,02720,"07,08,09,10,11,12",Fall River,00950000,Public School District
Fall River: Samuel Watson,00950145,Public School,Fall River,MA,02723,"K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Spencer Borden,00950130,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District
Fall River: Stone PK-12 School,00950340,Public School,Fall River,MA,02720,"K,01,02,03,04,05,06,07,08,09,10,11,12",Fall River,00950000,Public School District
Fall River: Talbot Innovation School,00950305,Public School,Fall River,MA,02723,"06,07,08",Fall River,00950000,Public School District
Fall River: William S Greene,00950065,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District
Falmouth: East Falmouth Elementary,00960005,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District
Falmouth: Falmouth High,00960505,Public School,Falmouth,MA,02540,"09,10,11,12",Falmouth,00960000,Public School District
Falmouth: Lawrence,00960405,Public School,Falmouth,MA,02540,"07,08",Falmouth,00960000,Public School District
Falmouth: Morse Pond School,00960305,Public School,Falmouth,MA,02540,"05,06",Falmouth,00960000,Public School District
Falmouth: Mullen-Hall,00960020,Public School,Falmouth,MA,02540,"K,01,02,03,04",Falmouth,00960000,Public School District
Falmouth: North Falmouth Elementary,00960030,Public School,North Falmouth,MA,02556,"K,01,02,03,04",Falmouth,00960000,Public School District
Falmouth: Teaticket,00960015,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District
Farmington River Reg: Farmington River Elementary,06620020,Public School,Otis,MA,01253,"PK,K,01,02,03,04,05,06",Farmington River Reg,06620000,Public School District
Fitchburg: Arthur M Longsjo Middle School,00970315,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District
Fitchburg: Crocker Elementary,00970016,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District
Fitchburg: Fitchburg High,00970505,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District
Fitchburg: Goodrich Academy,00970510,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District
Fitchburg: McKay Elementary School,00970340,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District
Fitchburg: Memorial Middle School,00970048,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District
Fitchburg: Reingold Elementary,00970043,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District
Fitchburg: South Street Early Learning Center,00970060,Public School,Fitchburg,MA,01420,"PK,K",Fitchburg,00970000,Public School District
Florida: Abbott Memorial,00980005,Public School,Florida,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Florida,00980000,Public School District
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Greenfield,MA,01301,"07,08,09,10,11,12",Four Rivers Charter Public (District),04130000,Charter District
Foxborough: Charles Taylor Elementary,00990050,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District
Foxborough: Foxborough High,00990505,Public School,Foxborough,MA,02035,"09,10,11,12",Foxborough,00990000,Public School District
